Entity,Code,Year,Mismanaged waste emitted to the ocean (metric tons year-1),Share of global mismanaged plastic waste,Share of global plastics emitted to ocean
Albania,ALB,2019,1565,0.113046491,0.159782247
Algeria,DZA,2019,5774,1.237707957,0.589509708
Angola,AGO,2019,860,0.383571002,0.087803663
Antigua and Barbuda,ATG,2019,2,0.001014995,0.000204195
Argentina,ARG,2019,4137,0.754055528,0.422376457
Australia,AUS,2019,32,0.008524663,0.003267113
Bahamas,BHS,2019,20,0.003580812,0.002041946
Bahrain,BHR,2019,0,0.001688421,0.0
Bangladesh,BGD,2019,24640,1.654409563,2.515677038
Barbados,BRB,2019,45,0.001411604,0.004594378
Belgium,BEL,2019,34,0.003697366,0.003471308
Belize,BLZ,2019,374,0.009746866,0.038184384
Benin,BEN,2019,1639,0.215844283,0.167337446
Bosnia and Herzegovina,BIH,2019,6,0.089926619,0.000612584
Brazil,BRA,2019,37799,5.336737155,3.859175176
Brunei,BRN,2019,134,0.001120218,0.013681036
Bulgaria,BGR,2019,7,0.005045837,0.000714681
Burkina Faso,BFA,2019,0,0.513645775,0.0
Cambodia,KHM,2019,1113,0.400647849,0.113634275
Cameroon,CMR,2019,10671,0.936965084,1.0894801
Canada,CAN,2019,238,0.038182916,0.024299153
Cape Verde,CPV,2019,0,0.005775921,0.0
Chile,CHL,2019,322,0.049805985,0.032875325
China,CHN,2019,70707,19.86638327,7.218992545
Colombia,COL,2019,431,0.138333951,0.044003929
Comoros,COM,2019,0,0.095765674,0.0
Congo,COG,2019,676,0.105693847,0.069017763
Costa Rica,CRI,2019,450,0.009309787,0.045943777
Cote d'Ivoire,CIV,2019,4784,0.47206821,0.488433399
Croatia,HRV,2019,224,0.028400436,0.022869791
Cyprus,CYP,2019,3,0.001354946,0.000306292
Democratic Republic of Congo,COD,2019,420,2.217335209,0.042880859
Denmark,DNK,2019,9,0.000631337,0.000918876
Djibouti,DJI,2019,4,0.016655956,0.000408389
Dominica,DMA,2019,53,0.001751554,0.005411156
Dominican Republic,DOM,2019,6276,0.314078645,0.640762544
East Timor,TLS,2019,715,0.027914792,0.072999557
Ecuador,ECU,2019,1136,0.176121877,0.115982513
Egypt,EGY,2019,2471,2.323820655,0.252282385
El Salvador,SLV,2019,808,0.035116886,0.082494604
Equatorial Guinea,GNQ,2019,405,0.015221688,0.041349399
Eritrea,ERI,2019,48,0.136122654,0.00490067
Estonia,EST,2019,12,0.000971287,0.001225167
Fiji,FJI,2019,365,0.006245376,0.037265508
Finland,FIN,2019,0,0.004242906,0.0
France,FRA,2019,235,0.044970594,0.023992861
French Guiana,GUF,2019,7,0.00020397,0.000714681
Gabon,GAB,2019,445,0.009698302,0.045433291
Gambia,GMB,2019,421,0.056812203,0.042982956
Georgia,GEO,2019,3,0.000496975,0.000306292
Germany,DEU,2019,134,0.082034911,0.013681036
Ghana,GHA,2019,4185,0.84178542,0.427277127
Greece,GRC,2019,216,0.007294366,0.022053013
Grenada,GRD,2019,130,0.002196728,0.013272647
Guadeloupe,GLP,2019,4,0.000262248,0.000408389
Guatemala,GTM,2019,7142,0.503455354,0.729178791
Guinea,GIN,2019,2347,0.239579303,0.239622322
Guinea-Bissau,GNB,2019,247,0.033128985,0.025218029
Guyana,GUY,2019,1246,0.04462255,0.127213214
Haiti,HTI,2019,6929,0.385225428,0.70743207
Honduras,HND,2019,2436,0.236338442,0.24870898
Hong Kong,HKG,2019,112,0.009358352,0.011434896
Iceland,ISL,2019,0,0.000244441,0.0
India,IND,2019,126513,21.03500357,12.91663349
Indonesia,IDN,2019,56333,1.334279799,5.751446208
Iran,IRN,2019,928,0.802874039,0.094746278
Iraq,IRQ,2019,67,0.796084742,0.006840518
Ireland,IRL,2019,115,0.004330322,0.011741187
Israel,ISR,2019,33,0.00981,0.00336921
Italy,ITA,2019,414,0.062814758,0.042268275
Jamaica,JAM,2019,2334,0.080411243,0.238295057
Japan,JPN,2019,1835,0.057765683,0.187348513
Jordan,JOR,2019,1,0.201420669,0.000102097
Kazakhstan,KAZ,2019,13,0.087807594,0.001327265
Kenya,KEN,2019,259,0.469321086,0.026443196
Kiribati,KIR,2019,0,0.000119792,0.0
Kuwait,KWT,2019,7,0.004273663,0.000714681
Latvia,LVA,2019,9,0.001545965,0.000918876
Lebanon,LBN,2019,684,0.075472248,0.069834541
Lesotho,LSO,2019,0,0.049197312,0.0
Liberia,LBR,2019,2638,0.064639159,0.269332631
Libya,LBY,2019,879,0.3052027,0.089743511
Lithuania,LTU,2019,7,0.001678708,0.000714681
Madagascar,MDG,2019,775,0.040875,0.079125394
Malaysia,MYS,2019,73098,1.318447818,7.463107147
Maldives,MDV,2019,0,9.71e-05,0.0
Malta,MLT,2019,0,0.000419272,0.0
Marshall Islands,MHL,2019,0,2.59e-05,0.0
Martinique,MTQ,2019,22,0.000225015,0.00224614
Mauritania,MRT,2019,127,0.033664812,0.012966355
Mauritius,MUS,2019,0,0.000484025,0.0
Mexico,MEX,2019,3512,0.697083063,0.358565656
Monaco,MCO,2019,0,8.09e-06,0.0
Montenegro,MNE,2019,0,2.59e-05,0.0
Morocco,MAR,2019,1800,0.478339488,0.183775108
