date,steps,distance,runDistance,calories
2023-01-16,7655,5168,1492,164
2023-01-17,6892,4560,388,131
2023-01-18,5345,3428,294,100
2023-01-19,7374,5101,600,553
2023-01-20,6547,4107,596,494
2023-01-21,1782,1075,245,368
2023-01-22,4610,3031,387,95
2023-01-23,4835,3044,505,357
2023-01-24,5738,3750,342,302
2023-01-25,10146,6838,402,186
2023-01-26,6336,4090,253,528
2023-01-27,7651,4926,200,134
2023-01-28,1929,1158,286,44
2023-01-29,6192,4001,325,110
2023-01-30,6174,4009,622,116
2023-01-31,3628,2238,533,71
2023-02-01,7285,4779,1125,135
2023-02-02,4932,3162,737,89
2023-02-03,4894,3125,553,100
2023-02-04,555,325,100,12
2023-02-05,6263,4047,356,286
2023-02-06,7144,4650,781,331
2023-02-07,4484,2801,325,366
2023-02-08,6296,4057,493,269
2023-02-09,7153,4725,451,434
2023-02-10,7601,4822,413,373
2023-02-11,606,355,135,294
2023-02-12,7081,4755,293,126
2023-02-13,9161,6005,943,340
2023-02-14,6295,4042,683,301
2023-02-15,5554,3481,557,259
2023-02-16,8419,5485,411,448
2023-02-17,7228,4609,940,427
2023-02-18,5820,3776,450,223
2023-02-19,1826,1078,262,167
2023-02-20,3460,2139,530,315
2023-02-21,4372,2767,617,312
2023-02-22,11500,7468,864,401
2023-02-23,7184,4717,1181,508
2023-02-24,8369,5585,888,326
2023-02-25,9341,6121,364,522
2023-02-26,12040,8121,1354,469
2023-02-27,4289,2729,283,196
2023-02-28,4527,2805,486,305
2023-03-01,4341,2820,526,196
2023-03-02,4909,3152,819,109
2023-03-03,6179,4018,710,346
2023-03-04,3052,1903,225,460
2023-03-05,4915,3184,356,222
2023-03-06,10746,7017,1036,429
2023-03-07,5523,3573,432,373
2023-03-08,8723,5498,412,305
2023-03-09,5468,3480,311,231
2023-03-10,11690,8217,1937,409
2023-03-11,5227,3261,713,294
2023-03-12,13420,8705,538,287
2023-03-13,14797,9828,983,320
2023-03-14,13038,8603,987,288
2023-03-15,6094,3933,672,137
2023-03-16,12604,8572,1506,518
2023-03-17,7880,5075,553,468
2023-03-18,16184,10934,861,544
2023-03-19,2814,1676,268,64
2023-03-20,4178,2557,593,329
2023-03-21,7177,4496,173,140
2023-03-22,7910,4900,662,177
2023-03-23,1370,803,223,40
2023-03-24,3568,2229,484,87
2023-03-25,18448,11901,590,386
2023-03-26,2806,1769,308,64
2023-03-27,14747,9718,644,529
2023-03-28,4023,2538,360,239
2023-03-29,8350,5884,1829,549
2023-03-30,2284,1438,307,245
2023-03-31,4790,3127,478,166
2023-04-01,11953,7956,1439,258
2023-04-02,3322,2126,330,71
2023-04-03,6458,4153,236,134
2023-04-04,4586,2957,413,238
2023-04-05,6622,4206,740,239
2023-04-06,2976,1863,134,239
2023-04-07,6920,4508,553,330
2023-04-08,5152,3274,772,257
2023-04-09,10778,7004,346,305
2023-04-10,15929,10846,934,555
2023-04-11,8321,5481,288,359
2023-04-12,6358,4107,567,282
2023-04-13,5912,3853,593,310
2023-04-14,6739,4360,772,386
2023-04-15,15222,9982,1012,523
2023-04-16,2304,1416,160,178
2023-04-17,8769,5713,754,342
2023-04-18,4626,3018,671,206
2023-04-19,3247,2082,158,212
2023-04-20,7920,5176,422,345
2023-04-21,8851,5735,654,412
2023-04-22,7831,5007,231,359
2023-04-23,5920,3972,327,309
2023-04-24,7170,4715,537,357
2023-04-25,6475,4214,216,338
2023-04-26,11153,7332,466,331
2023-04-27,6307,4184,792,342
2023-04-28,5153,3290,444,282
2023-04-29,5919,3795,199,229
2023-04-30,2520,1506,198,181
2023-05-01,8590,5634,433,397
2023-05-02,4212,2682,211,299
2023-05-03,4844,3112,391,213
2023-05-04,5658,3617,420,326
2023-05-05,8478,5540,552,366
2023-05-06,3783,2640,82,280
2023-05-07,743,437,23,103
2023-05-08,3502,2214,427,255
2023-05-09,6255,3954,781,314
2023-05-10,4152,2603,370,196
2023-05-11,2764,1709,119,256
2023-05-12,3772,2341,291,260
2023-05-13,3369,2072,273,243
2023-05-14,4931,3146,261,186
2023-05-15,5419,3493,624,296
2023-05-16,8274,5317,462,384
2023-05-17,10353,6557,1287,245
2023-05-18,2846,1808,375,78
2023-05-19,6981,4506,590,156
2023-05-20,3243,2014,192,71
2023-05-21,1780,1056,261,49
2023-05-22,3535,2114,370,83
2023-05-23,2484,1458,229,53
2023-05-24,4696,2873,443,103
2023-05-25,7427,4948,1044,180
2023-05-26,6113,3899,564,137
2023-05-27,14570,9088,2075,312
2023-05-28,24846,16002,4788,525
2023-05-29,8011,4972,517,176
2023-05-30,3207,2043,140,69
2023-05-31,5401,3313,231,104
2023-06-01,1531,946,163,37
2023-06-02,1841,1175,278,41
2023-06-03,2781,1642,324,71
2023-06-04,3477,2050,336,77
2023-06-05,8,5,0,0
2023-06-25,1501,1000,46,33
2023-06-26,25437,16262,586,506
2023-06-27,20662,12905,741,397
2023-06-28,26464,16927,550,520
